1	21 
2	12 
3	5 
4	31 
5	15 
6	28 
7	43 
8	39 
9	30 
10	13 29 
11	6 
12	13 
13	34 
14	6 
15	45 
16	8 24 
17	12 
18	16 
19	39 
20	44 
21	44 
22	30 
23	36 
24	35 
25	22 
26	2 48 
27	21 
28	31 
29	35 42 
30	34 
31	23 
32	6 
33	4 
34	35 
35	47 
36	33 
37	16 
38	33 
39	33 35 
40	10 
41	3 
42	6 
43	3 
44	43 
45	38 
46	2 
47	25 46 
48	17 
49	8 
50	20 26 
51	5 
52	12 
53	26 
54	15 
55	22 
56	28 
57	11 
58	31 
59	16 
60	16 
61	46 
62	34 
63	20 
64	47 
65	28 
66	29 
67	32 
68	17 
69	11 
70	26 
71	37 
72	27 35 
73	13 
74	35 37 
75	7 
76	3 
77	43 
78	23 
79	7 
80	10 45 
81	1 
82	25 
83	22 
84	41 
85	37 
86	10 
87	6 
88	12 38 
89	40 
90	45 
91	9 
92	13 
93	29 
94	24 
95	15 
96	32 
97	48 
98	27 
99	46 
100	35 
101	32 
102	23 
103	23 
104	39 
105	14 
106	1 
107	16 24 
108	4 
109	46 
110	21 
111	32 
112	4 
113	35 
114	19 
115	35 
116	13 
117	44 
118	8 
119	32 
120	1 19 
121	7 
122	33 
123	21 
124	44 
125	13 
126	2 
127	12 
128	26 
129	9 
130	33 
131	18 
132	28 
133	23 
134	7 21 
135	32 
136	23 
137	40 
138	10 
139	12 
140	20 
141	35 
142	20 
143	3 28 
144	12 
145	15 
146	22 
147	19 
148	16 
149	1 
150	4 
151	32 
152	30 
153	47 48 
154	29 
155	2 
156	4 
157	15 
158	24 
159	24 
160	19 
161	42 
162	20 
163	3 
164	40 
165	47 
166	1 35 
167	21 24 
168	30 
169	34 
170	19 
171	9 
172	46 
173	38 
174	2 
175	24 
176	41 
177	36 46 
178	33 
179	7 10 
180	7 
181	8 
182	14 
183	3 44 
184	13 
185	27 
186	20 
187	47 
188	2 
189	38 
190	20 
191	30 
192	1 
193	13 36 
194	43 
195	38 
196	18 
197	1 48 
198	8 
199	19 38 
200	33 
201	26 
202	20 
203	32 
204	28 
205	26 
206	36 
207	1 
208	33 46 
209	12 
210	20 
211	9 
212	32 
213	5 
214	9 48 
215	14 41 
216	2 
217	42 
218	34 
219	12 
220	46 
221	46 
222	24 
223	36 
224	34 48 
225	15 
226	4 
227	1 
228	46 
229	5 
230	44 
231	14 
232	1 
233	8 
234	2 
235	40 
236	32 
237	14 
238	26 
239	33 
240	47 
241	22 
242	32 
243	14 
244	28 
245	24 45 
246	37 
247	12 
248	42 
249	32 
250	16 
251	47 
252	44 
253	42 
254	23 
255	15 
256	28 
257	19 
258	42 
259	46 
260	19 31 
261	42 
262	43 
263	41 
264	19 
265	9 
266	8 
267	46 
268	4 
269	47 
270	43 
271	41 
272	21 
273	27 
274	41 
275	3 
276	6 
277	13 
278	21 45 
279	8 
280	22 
281	45 
282	13 
283	48 
284	37 
285	3 
286	15 
287	20 
288	31 
289	39 
290	2 45 
291	15 
292	33 
293	9 
294	19 
295	39 
296	46 
297	43 
298	33 
299	14 
300	43 
301	1 
302	17 
303	15 43 
304	19 
305	1 
306	31 
307	48 
308	17 
309	6 
310	4 
311	45 
312	28 
313	45 
314	44 
315	38 
316	45 
317	1 
318	26 
319	10 
320	43 
321	36 
322	10 
323	27 
324	42 
325	16 
326	18 
327	8 
328	23 
329	28 
330	42 
331	33 
332	42 
333	46 
334	36 
335	39 
336	40 
337	48 
338	7 32 
339	31 
340	11 
341	1 37 
342	44 
343	41 
344	13 
345	6 39 
346	20 
347	14 
348	28 
349	25 
350	35 
351	31 
352	46 
353	46 
354	46 
355	34 
356	15 
357	44 
358	38 39 
359	36 
360	7 46 
361	45 
362	46 
363	22 
364	13 
365	10 45 
366	46 
367	11 
368	38 
369	47 
370	3 
371	28 
372	14 
373	24 
374	38 
375	14 
376	41 
377	35 45 
378	9 
379	40 
380	3 
381	14 41 
382	22 
383	28 
384	3 6 
385	32 36 
386	46 
387	44 
388	29 
389	33 
390	24 
391	21 
392	35 
393	9 
394	30 
395	25 
396	14 
397	44 
398	48 
399	14 45 
400	42 
401	30 
402	2 
