1	8 
2	1 6 
3	7 
4	6 
5	4 
6	5 
7	6 
8	3 
9	5 
10	1 
11	3 
12	2 3 
13	7 
14	7 
15	3 7 
16	2 
17	2 
18	4 
19	4 
20	3 
21	6 
22	2 
23	7 
24	2 
25	1 7 
26	2 4 
27	1 7 
28	2 5 
29	7 
30	5 
31	1 
32	7 
33	4 8 
34	3 
35	8 
36	4 8 
37	5 
38	6 
39	3 
40	3 7 
41	3 
42	3 4 
43	6 
44	5 
45	1 8 
46	8 
47	6 7 
48	8 
49	2 7 
50	2 8 
51	6 
52	7 
53	7 
54	4 
55	3 
56	1 7 
57	6 
58	2 
59	7 
60	3 
61	6 
62	5 
63	2 
64	3 4 
65	1 2 
66	6 
67	1 5 
68	6 
69	5 8 
70	1 
71	4 7 
72	1 3 
73	1 
74	5 8 
75	2 
76	6 
77	2 
78	2 
79	6 7 
80	8 
81	1 7 
82	4 
83	2 4 
84	3 5 
85	6 
86	2 
87	6 
88	2 
89	5 
90	4 
91	1 4 
92	2 
93	7 
94	7 
95	5 
96	5 8 
97	3 
98	2 3 
99	7 
100	7 
