1	1 
2	2 11 
3	2 
4	5 
5	4 
6	4 
7	12 
8	2 
9	6 
10	12 
11	6 
12	6 
13	12 
14	5 
15	5 
16	6 
17	3 
18	2 
19	9 
20	9 
21	6 
22	6 
23	6 
24	1 
25	8 
26	11 
27	12 
28	12 
29	4 
30	2 
31	9 
32	4 5 
33	7 12 
34	9 
35	2 
36	2 11 
37	7 
38	1 
39	5 
40	10 
41	4 7 
42	12 
43	9 
44	6 
45	10 
46	12 
47	3 
48	9 
49	2 
50	9 
51	9 11 
52	5 8 
53	12 
54	12 
55	3 
56	10 
57	4 
58	5 
59	10 
60	10 
61	4 
62	8 
63	7 
64	3 
65	4 
66	7 8 
67	5 
68	7 
69	8 
70	10 
71	5 
72	8 
73	1 
74	3 
75	3 
76	6 9 
77	5 10 
78	1 
79	10 
80	1 
81	1 
82	7 
83	7 
84	3 
85	5 
86	5 
87	10 
88	3 
89	1 
90	11 
91	11 
92	1 
93	5 
94	11 
95	4 8 
96	8 
97	3 4 
98	7 
99	10 
100	2 5 
101	3 
102	5 
103	8 
104	7 11 
105	8 
106	7 
107	3 
108	8 
109	3 
110	7 
111	8 
112	10 
113	4 9 
114	7 
115	8 
116	7 
117	5 7 
118	10 
119	1 12 
120	11 
121	10 
122	10 
123	3 
124	8 
125	11 
126	7 
127	5 
128	3 
129	11 
130	7 
131	8 
132	5 
133	8 
134	10 
135	7 
136	2 6 
137	10 
138	5 
139	10 
140	10 
141	3 
142	11 
143	10 
144	7 11 
145	5 
146	11 
147	7 
148	5 
149	9 12 
150	10 
151	2 11 
152	10 
153	5 
154	5 10 
155	11 
156	11 
157	7 
158	11 
159	5 
160	10 
161	3 7 
162	7 8 
163	10 
164	5 11 
165	6 11 
166	5 
167	10 
168	11 
169	10 
170	10 
171	5 8 
172	7 
173	9 11 
174	11 
175	1 3 
176	11 
177	5 
178	11 
179	5 7 
180	1 10 
181	5 
182	1 8 
183	1 5 
184	5 
185	5 
186	2 10 
187	8 10 
188	10 
189	3 4 
190	5 
191	10 
192	5 
193	7 11 
194	7 11 
195	3 11 
196	4 5 
197	5 
198	5 
199	5 
200	5 
